
07.12.1999 17:49:45 Обработано -   1 записей 07.12.1999 17:49:56
07.12.1999 18:27:44 Обработано -  24 записей 07.12.1999 18:28:00
07.12.1999 18:55:44 Обработано -  19 записей 07.12.1999 18:55:59
08.12.1999 09:57:48 Обработано -   3 записей 08.12.1999 09:58:01
08.12.1999 10:41:46 Обработано -   1 записей 08.12.1999 10:41:58
08.12.1999 11:24:05 Обработано -   1 записей 08.12.1999 11:24:33
08.12.1999 13:03:50 Обработано -   2 записей 08.12.1999 13:04:02
08.12.1999 14:23:47 Обработано -   9 записей 08.12.1999 14:24:01
08.12.1999 18:29:48 Обработано -  44 записей 08.12.1999 18:30:11
08.12.1999 18:49:46 Обработано -  26 записей 08.12.1999 18:50:05
09.12.1999 09:53:52 Обработано -   5 записей 09.12.1999 09:54:09
09.12.1999 11:41:33 Обработано -   1 записей 09.12.1999 11:41:48
09.12.1999 14:31:31 Обработано -  33 записей 09.12.1999 14:31:52
09.12.1999 14:43:31 Обработано -   7 записей 09.12.1999 14:43:48
09.12.1999 16:53:45 Обработано -   2 записей 09.12.1999 16:54:15
09.12.1999 18:01:31 Обработано -  25 записей 09.12.1999 18:01:54
09.12.1999 18:27:31 Обработано -   1 записей 09.12.1999 18:27:49
09.12.1999 18:49:30 Обработано -  12 записей 09.12.1999 18:49:50
10.12.1999 02:43:36 Обработано -   1 записей 10.12.1999 02:43:55
10.12.1999 10:33:33 Обработано -   4 записей 10.12.1999 10:33:50
10.12.1999 11:21:32 Обработано -   1 записей 10.12.1999 11:21:47
10.12.1999 13:19:32 Обработано -   9 записей 10.12.1999 13:19:50
10.12.1999 15:31:34 Обработано -   3 записей 10.12.1999 15:31:50
10.12.1999 17:45:33 Обработано -  21 записей 10.12.1999 17:45:54
10.12.1999 18:49:33 Обработано -  57 записей 10.12.1999 18:50:02
11.12.1999 13:53:37 Обработано -  28 записей 11.12.1999 13:54:04
11.12.1999 14:23:35 Обработано -  12 записей 11.12.1999 14:23:55
11.12.1999 15:03:35 Обработано -   4 записей 11.12.1999 15:03:54
11.12.1999 15:47:39 Обработано -   7 записей 11.12.1999 15:47:58
12.12.1999 13:13:53 Обработано -   5 записей 12.12.1999 13:14:20
13.12.1999 11:37:42 Обработано -   7 записей 13.12.1999 11:38:00
14.12.1999 10:01:44 Обработано -   3 записей 14.12.1999 10:01:59
14.12.1999 10:47:42 Обработано -   6 записей 14.12.1999 10:47:55
14.12.1999 11:07:42 Обработано -   6 записей 14.12.1999 11:07:54
14.12.1999 13:01:43 Обработано -   6 записей 14.12.1999 13:01:56
14.12.1999 14:17:43 Обработано -   4 записей 14.12.1999 14:17:56
14.12.1999 15:41:44 Обработано -   4 записей 14.12.1999 15:41:57
14.12.1999 16:09:43 Обработано -   3 записей 14.12.1999 16:09:55
14.12.1999 17:49:43 Обработано -  13 записей 14.12.1999 17:49:59
14.12.1999 18:19:44 Обработано -   1 записей 14.12.1999 18:19:57
14.12.1999 18:33:43 Обработано -   1 записей 14.12.1999 18:33:55
14.12.1999 19:29:46 Обработано -  21 записей 14.12.1999 19:30:03
15.12.1999 10:01:46 Обработано -   1 записей 15.12.1999 10:02:00
15.12.1999 14:01:45 Обработано -  23 записей 15.12.1999 14:02:00
15.12.1999 17:33:45 Обработано -  34 записей 15.12.1999 17:34:03
15.12.1999 17:55:45 Обработано -   1 записей 15.12.1999 17:55:57
15.12.1999 18:45:45 Обработано -  18 записей 15.12.1999 18:46:01
16.12.1999 10:21:57 Обработано -   4 записей 16.12.1999 10:22:15
16.12.1999 10:45:52 Обработано -   1 записей 16.12.1999 10:46:08
16.12.1999 12:24:01 Обработано -   2 записей 16.12.1999 12:24:17
16.12.1999 13:00:01 Обработано -  25 записей 16.12.1999 13:00:24
16.12.1999 14:26:00 Обработано -   4 записей 16.12.1999 14:26:26
16.12.1999 16:34:00 Обработано -  18 записей 16.12.1999 16:34:22
16.12.1999 17:20:01 Обработано -   1 записей 16.12.1999 17:20:19
16.12.1999 18:33:55 Обработано -   1 записей 16.12.1999 18:34:12
16.12.1999 18:56:00 Обработано -  22 записей 16.12.1999 18:56:27
17.12.1999 09:39:59 Обработано -   1 записей 17.12.1999 09:40:18
17.12.1999 10:18:01 Обработано -   3 записей 17.12.1999 10:18:20
17.12.1999 11:29:54 Обработано -   1 записей 17.12.1999 11:30:12
17.12.1999 11:55:53 Обработано -   3 записей 17.12.1999 11:56:13
17.12.1999 12:41:58 Обработано -   2 записей 17.12.1999 12:42:20
17.12.1999 12:55:56 Обработано -   4 записей 17.12.1999 12:56:17
17.12.1999 14:29:55 Обработано -  17 записей 17.12.1999 14:30:22
17.12.1999 16:28:04 Обработано -   4 записей 17.12.1999 16:28:23
17.12.1999 16:36:08 Обработано -   3 записей 17.12.1999 16:36:27
17.12.1999 17:52:02 Обработано -  44 записей 17.12.1999 17:52:31
17.12.1999 19:40:03 Обработано -  23 записей 17.12.1999 19:40:29
18.12.1999 10:18:06 Обработано -   4 записей 18.12.1999 10:18:30
18.12.1999 15:08:01 Обработано -   8 записей 18.12.1999 15:08:22
18.12.1999 15:28:05 Обработано -   2 записей 18.12.1999 15:28:28
18.12.1999 15:38:01 Обработано -  10 записей 18.12.1999 15:38:28
